_id,earthquake_id,event_time,evt_dep,evt_lat,evt_lon,evt_mag,stations,network
6069ea0c34a3110fe6f1807d,GT10784,2005-10-18T07:31:01.500000Z,16,34.0033,-116.6867,4.2,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""JCS"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""PAS"",""PLM"",""RPV"",""RRX"",""RSS"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f1807e,GT11178,2001-07-03T11:40:47.060000Z,6.8,34.221,-116.797,3.1,"[""BAK"",""BAR"",""CHF"",""CIA"",""DGR"",""DJJ"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS""]",CI
6069ea0c34a3110fe6f1807f,GT10812,2005-07-14T02:15:23.460000Z,3.6,34.706,-116.06,3.1,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BBS"",""BCC"",""BFS"",""BLA"",""BOR"",""CAP"",""CHF"",""CIA"",""CLC"",""DEC"",""DEV"",""DGR"",""DJJ"",""DPP"",""DVT"",""EDW2"",""EML"",""FMP"",""GOR"",""GSC"",""ISA"",""JCS"",""LGU"",""LRL"",""MGE"",""MPP"",""MSJ"",""MWC"",""OLP"",""OSI"",""PAS"",""PLM"",""PLS"",""RPV"",""RRX"",""RSS"",""SBC"",""SBPX"",""SCI2"",""SCZ2"",""SDD"",""SDG"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""THX"",""TOV"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18080,GT10499,2009-03-10T13:41:28.070000Z,12,33.968,-117.762,3.1,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18081,GT11222,2001-02-13T06:11:46.970000Z,6.2,34.218,-116.932,3.6,"[""BAK"",""BAR"",""CIA"",""DGR"",""DJJ"",""EML"",""GSC"",""ISA"",""JCS"",""LGU"",""MWC"",""PAS"",""PLM"",""RPV"",""SBC"",""SDD"",""SLA"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f18082,GT10802,2005-09-09T13:48:59.160000Z,8.4,34.227,-117.442,3.3,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""JCS"",""LGU"",""LRL"",""MPP"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS"",""VTV""]",CI
6069ea0c34a3110fe6f18083,GT10056,2014-06-11T09:38:05.640000Z,10.3,35.0028,-116.9219,4,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""EDW2"",""FMP"",""GSC"",""HEC"",""IKP"",""ISA"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""USC"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18084,GT10779,2005-10-29T09:20:11.510000Z,3.9,35.033,-116.958,3.5,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""JCS"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PAS"",""PLM"",""RPV"",""RRX"",""RSS"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SNCC"",""SVD"",""TOV"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18085,GT10463,2009-10-08T03:31:16.740000Z,12.3,32.7076,-118.2155,3.6,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""LGU"",""LRL"",""MPP"",""MUR"",""MWC"",""OSI"",""PLM"",""RPV"",""RRX"",""RSS"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
6069ea0c34a3110fe6f18086,GT10480,2009-06-20T01:00:30.010000Z,13.8,32.8436,-118.0271,4.1,"[""ADO"",""ARV"",""BAK"",""BAR"",""BBR"",""BFS"",""CHF"",""CIA"",""DEC"",""DGR"",""DJJ"",""DVT"",""EDW2"",""FMP"",""GSC"",""HEC"",""ISA"",""LRL"",""MPP"",""MUR"",""OSI"",""PLM"",""RPV"",""RRX"",""SBC"",""SCI2"",""SCZ2"",""SDD"",""SHO"",""SLA"",""SMM"",""SVD"",""USC"",""VCS"",""VES"",""VTV""]",CI
